Bomb	
location	value
0	111
1	111
2	111
3	111
4	111
5	000
6	000
7	000
8	000
9	111
10	111
11	111
12	111
13	111
14	111
15	111
16	111
17	111
18	111
19	000
20	000
21	001
22	001
23	001
24	001
25	000
26	000
27	111
28	111
29	111
30	111
31	111
32	111
33	111
34	000
35	001
36	001
37	001
38	001
39	001
40	001
41	001
42	001
43	000
44	111
45	111
46	111
47	111
48	111
49	000
50	001
51	001
52	001
53	001
54	001
55	001
56	001
57	001
58	001
59	001
60	000
61	111
62	000
63	000
64	111
65	000
66	111
67	001
68	111
69	001
70	001
71	001
72	001
73	001
74	001
75	001
76	000
77	000
78	111
79	000
80	000
81	001
82	111
83	001
84	111
85	001
86	001
87	001
88	001
89	001
90	001
91	001
92	000
93	000
94	111
95	000
96	000
97	001
98	111
99	001
100	111
101	001
102	001
103	001
104	001
105	001
106	001
107	000
108	111
109	111
110	111
111	000
112	000
113	001
114	001
115	001
116	001
117	001
118	001
119	001
120	001
121	001
122	001
123	000
124	011
125	011
126	111
127	000
128	000
129	001
130	001
131	001
132	001
133	001
134	001
135	001
136	001
137	001
138	001
139	001
140	000
141	000
142	011
143	000
144	111
145	000
146	001
147	001
148	001
149	001
150	001
151	001
152	001
153	001
154	001
155	001
156	000
157	000
158	011
159	000
160	111
161	000
162	001
163	001
164	001
165	001
166	001
167	001
168	001
169	001
170	001
171	000
172	111
173	111
174	000
175	000
176	111
177	111
178	000
179	000
180	001
181	001
182	001
183	001
184	001
185	001
186	000
187	000
188	111
189	111
190	111
191	111
192	111
193	000
194	100
195	100
196	000
197	001
198	001
199	001
200	001
201	000
202	100
203	100
204	000
205	111
206	111
207	111
208	111
209	000
210	100
211	100
212	100
213	000
214	000
215	000
216	000
217	100
218	100
219	100
220	000
221	111
222	111
223	111
224	111
225	111
226	000
227	100
228	100
229	000
230	111
231	111
232	000
233	100
234	100
235	000
236	111
237	111
238	111
239	111
240	111
241	111
242	111
243	000
244	000
245	111
246	111
247	111
248	111
249	000
250	000
251	111
252	111
253	111
254	111
255	111
