Mario2	
location	value
0	111
1	111
2	111
3	111
4	100
5	100
6	100
7	100
8	100
9	100
10	111
11	111
12	101
13	101
14	101
15	101
16	111
17	111
18	111
19	100
20	100
21	100
22	100
23	100
24	100
25	100
26	100
27	100
28	100
29	101
30	101
31	101
32	111
33	111
34	111
35	000
36	000
37	000
38	101
39	101
40	101
41	000
42	101
43	111
44	100
45	100
46	100
47	100
48	111
49	111
50	000
51	101
52	000
53	101
54	101
55	101
56	101
57	000
58	101
59	101
60	101
61	100
62	100
63	100
64	111
65	111
66	000
67	101
68	000
69	101
70	101
71	101
72	101
73	101
74	000
75	101
76	101
77	101
78	100
79	100
80	111
81	111
82	000
83	000
84	101
85	101
86	101
87	101
88	101
89	000
90	000
91	000
92	000
93	100
94	111
95	111
96	111
97	111
98	111
99	111
100	101
101	101
102	101
103	101
104	101
105	101
106	101
107	101
108	100
109	100
110	111
111	111
112	111
113	111
114	100
115	100
116	100
117	100
118	001
119	100
120	100
121	100
122	001
123	100
124	100
125	111
126	111
127	000
128	101
129	101
130	100
131	100
132	100
133	001
134	001
135	001
136	100
137	100
138	100
139	001
140	111
141	111
142	000
143	000
144	101
145	101
146	101
147	100
148	100
149	001
150	001
151	001
152	001
153	001
154	001
155	110
156	001
157	001
158	000
159	000
160	111
161	101
162	111
163	111
164	001
165	100
166	001
167	001
168	110
169	001
170	001
171	001
172	001
173	001
174	000
175	000
176	111
177	111
178	000
179	000
180	000
181	001
182	001
183	001
184	001
185	001
186	001
187	001
188	001
189	001
190	000
191	000
192	111
193	000
194	000
195	000
196	001
197	001
198	001
199	001
200	001
201	111
202	111
203	111
204	111
205	111
206	111
207	111
208	000
209	000
210	000
211	111
212	111
213	111
214	111
215	111
216	111
217	111
218	111
219	111
220	111
221	111
222	111
223	111
224	111
225	111
226	111
227	111
228	111
229	111
230	111
231	111
232	111
233	111
234	111
235	111
236	111
237	111
238	111
239	111
240	111
241	111
242	111
243	111
244	111
245	111
246	111
247	111
248	111
249	111
250	111
251	111
252	111
253	111
254	111
255	111
