Star	
location	value
0	111
1	111
2	111
3	111
4	111
5	111
6	111
7	111
8	000
9	111
10	111
11	111
12	111
13	111
14	111
15	111
16	111
17	111
18	111
19	111
20	111
21	111
22	111
23	000
24	110
25	000
26	111
27	111
28	111
29	111
30	111
31	111
32	111
33	111
34	111
35	111
36	111
37	111
38	111
39	000
40	110
41	000
42	111
43	111
44	111
45	111
46	111
47	111
48	111
49	111
50	111
51	111
52	111
53	111
54	000
55	110
56	110
57	110
58	000
59	111
60	111
61	111
62	111
63	111
64	111
65	111
66	111
67	111
68	111
69	111
70	000
71	110
72	110
73	110
74	000
75	111
76	111
77	111
78	111
79	111
80	111
81	000
82	000
83	000
84	000
85	000
86	110
87	110
88	110
89	110
90	110
91	000
92	000
93	000
94	000
95	000
96	111
97	000
98	110
99	110
100	110
101	110
102	110
103	000
104	110
105	000
106	110
107	110
108	110
109	110
110	110
111	000
112	111
113	111
114	000
115	110
116	110
117	110
118	110
119	000
120	110
121	000
122	110
123	110
124	110
125	110
126	000
127	111
128	111
129	111
130	111
131	000
132	110
133	110
134	110
135	000
136	110
137	000
138	110
139	110
140	110
141	000
142	111
143	111
144	111
145	111
146	111
147	111
148	000
149	110
150	110
151	110
152	110
153	110
154	110
155	110
156	000
157	111
158	111
159	111
160	111
161	111
162	111
163	000
164	110
165	110
166	110
167	110
168	110
169	110
170	110
171	110
172	110
173	000
174	111
175	111
176	111
177	111
178	111
179	000
180	110
181	110
182	110
183	110
184	110
185	110
186	110
187	110
188	110
189	000
190	111
191	111
192	111
193	111
194	000
195	110
196	110
197	110
198	110
199	110
200	000
201	110
202	110
203	110
204	110
205	110
206	000
207	111
208	111
209	111
210	000
211	110
212	110
213	110
214	000
215	000
216	111
217	000
218	000
219	110
220	110
221	110
222	000
223	111
224	111
225	000
226	110
227	110
228	000
229	000
230	111
231	111
232	111
233	111
234	111
235	000
236	000
237	110
238	110
239	000
240	111
241	000
242	000
243	000
244	111
245	111
246	111
247	111
248	111
249	111
250	111
251	111
252	111
253	000
254	000
255	000
