Toad	
location	value
0	111
1	111
2	111
3	111
4	111
5	000
6	000
7	000
8	000
9	000
10	000
11	111
12	111
13	111
14	111
15	111
16	111
17	111
18	111
19	000
20	000
21	000
22	100
23	111
24	111
25	100
26	000
27	000
28	000
29	111
30	111
31	111
32	111
33	111
34	000
35	000
36	100
37	100
38	100
39	111
40	111
41	100
42	100
43	100
44	000
45	000
46	111
47	111
48	111
49	000
50	000
51	111
52	100
53	100
54	111
55	111
56	111
57	111
58	100
59	100
60	111
61	000
62	000
63	111
64	111
65	000
66	100
67	111
68	111
69	111
70	111
71	111
72	111
73	111
74	111
75	111
76	111
77	100
78	000
79	111
80	000
81	000
82	100
83	100
84	111
85	111
86	100
87	100
88	100
89	100
90	111
91	111
92	100
93	100
94	000
95	000
96	000
97	100
98	100
99	100
100	111
101	100
102	100
103	100
104	100
105	100
106	100
107	111
108	100
109	100
110	100
111	000
112	000
113	100
114	100
115	100
116	111
117	100
118	100
119	100
120	100
121	100
122	100
123	111
124	100
125	100
126	100
127	000
128	000
129	100
130	100
131	111
132	111
133	100
134	100
135	100
136	100
137	100
138	100
139	111
140	111
141	100
142	100
143	000
144	000
145	111
146	111
147	111
148	111
149	111
150	100
151	100
152	100
153	100
154	111
155	111
156	111
157	111
158	111
159	000
160	000
161	111
162	111
163	000
164	000
165	000
166	000
167	000
168	000
169	000
170	000
171	000
172	000
173	111
174	111
175	000
176	000
177	000
178	000
179	000
180	111
181	111
182	000
183	111
184	111
185	000
186	111
187	111
188	000
189	000
190	000
191	000
192	111
193	000
194	000
195	111
196	111
197	111
198	000
199	111
200	111
201	000
202	111
203	111
204	111
205	000
206	000
207	111
208	111
209	111
210	000
211	111
212	111
213	111
214	111
215	111
216	111
217	111
218	111
219	111
220	111
221	000
222	111
223	111
224	111
225	111
226	000
227	000
228	111
229	111
230	111
231	111
232	111
233	111
234	111
235	111
236	000
237	000
238	111
239	111
240	111
241	111
242	111
243	000
244	000
245	000
246	000
247	000
248	000
249	000
250	000
251	000
252	000
253	111
254	111
255	111
