Penguin3 (facing right)
location	value
0	111
1	111
2	111
3	111
4	111
5	111
6	111
7	111
8	111
9	111
10	111
11	111
12	111
13	111
14	111
15	111
16	111
17	111
18	111
19	111
20	111
21	111
22	000
23	000
24	000
25	000
26	111
27	111
28	111
29	111
30	111
31	111
32	111
33	111
34	111
35	111
36	111
37	000
38	000
39	111
40	111
41	000
42	000
43	111
44	111
45	111
46	111
47	111
48	111
49	111
50	111
51	111
52	111
53	000
54	111
55	111
56	111
57	111
58	000
59	111
60	111
61	111
62	111
63	111
64	111
65	111
66	111
67	111
68	111
69	000
70	111
71	111
72	000
73	111
74	000
75	111
76	111
77	111
78	111
79	111
80	111
81	111
82	111
83	111
84	111
85	000
86	111
87	111
88	000
89	111
90	000
91	111
92	111
93	111
94	111
95	111
96	111
97	111
98	111
99	111
100	111
101	000
102	111
103	111
104	111
105	111
106	110
107	110
108	111
109	111
110	111
111	111
112	111
113	111
114	111
115	111
116	111
117	000
118	000
119	000
120	000
121	111
122	000
123	111
124	111
125	111
126	111
127	111
128	111
129	111
130	111
131	111
132	111
133	111
134	000
135	000
136	000
137	111
138	000
139	111
140	111
141	111
142	111
143	111
144	111
145	111
146	111
147	111
148	111
149	111
150	000
151	000
152	000
153	111
154	000
155	111
156	111
157	111
158	111
159	111
160	111
161	111
162	111
163	111
164	111
165	111
166	000
167	111
168	000
169	111
170	000
171	111
172	111
173	111
174	111
175	111
176	111
177	111
178	111
179	111
180	111
181	111
182	000
183	111
184	111
185	111
186	000
187	111
188	111
189	111
190	111
191	111
192	111
193	111
194	111
195	111
196	111
197	111
198	000
199	000
200	111
201	111
202	000
203	111
204	111
205	111
206	111
207	111
208	111
209	111
210	111
211	111
212	111
213	111
214	111
215	000
216	000
217	000
218	110
219	110
220	111
221	111
222	111
223	111
224	111
225	111
226	111
227	111
228	111
229	111
230	111
231	111
232	111
233	111
234	111
235	111
236	111
237	111
238	111
239	111
240	111
241	111
242	111
243	111
244	111
245	111
246	111
247	111
248	111
249	111
250	111
251	111
252	111
253	111
254	111
255	111
